StockCode,Description,rating
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2035
22423,REGENCY CAKESTAND 3 TIER,1724
85099B,JUMBO BAG RED RETROSPOT,1618
84879,ASSORTED COLOUR BIRD ORNAMENT,1408
47566,PARTY BUNTING,1397
20725,LUNCH BAG RED RETROSPOT,1317
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1159
20727,LUNCH BAG  BLACK SKULL.,1105
POST,POSTAGE,1099
23203,JUMBO BAG DOILEY PATTERNS,1098
22383,LUNCH BAG SUKI  DESIGN ,1083
21212,PACK OF 72 RETROSPOT CAKE CASES,1068
22197,SMALL POPCORN HOLDER,1068
23209,LUNCH BAG DOILEY PATTERN ,1029
23298,SPOTTY BUNTING,1024
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1019
22382,LUNCH BAG SPACEBOY DESIGN ,1008
20728,LUNCH BAG CARS BLUE,989
22469,HEART OF WICKER SMALL,985
22457,NATURAL SLATE HEART CHALKBOARD ,980
22384,LUNCH BAG PINK POLKADOT,957
21034,REX CASH+CARRY JUMBO SHOPPER,952
22727,ALARM CLOCK BAKELIKE RED ,899
23206,LUNCH BAG APPLE DESIGN,895
22993,SET OF 4 PANTRY JELLY MOULDS,893
22386,JUMBO BAG PINK POLKADOT,890
22960,JAM MAKING SET WITH JARS,888
82482,WOODEN PICTURE FRAME WHITE FINISH,887
22961,JAM MAKING SET PRINTED,875
22138,BAKING SET 9 PIECE RETROSPOT ,867
22666,RECIPE BOX PANTRY YELLOW DESIGN,843
23084,RABBIT NIGHT LIGHT,842
20726,LUNCH BAG WOODLAND,842
22139,RETROSPOT TEA SET CERAMIC 11 PC ,833
22178,VICTORIAN GLASS HANGING T-LIGHT,825
82494L,WOODEN FRAME ANTIQUE WHITE ,820
22470,HEART OF WICKER LARGE,819
22726,ALARM CLOCK BAKELIKE GREEN,808
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,803
22699,ROSES REGENCY TEACUP AND SAUCER ,801
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,784
21931,JUMBO STORAGE BAG SUKI,783
23202,JUMBO BAG VINTAGE LEAF,782
23301,GARDENERS KNEELING PAD KEEP CALM ,768
23201,JUMBO BAG ALPHABET,761
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,753
22077,6 RIBBONS RUSTIC CHARM,751
20724,RED RETROSPOT CHARLOTTE BAG,751
23355,HOT WATER BOTTLE KEEP CALM,740
21790,VINTAGE SNAP CARDS,736
23245,SET OF 3 REGENCY CAKE TINS,727
23199,JUMBO BAG APPLES,726
22629,SPACEBOY LUNCH BOX ,720
22697,GREEN REGENCY TEACUP AND SAUCER,719
22112,CHOCOLATE HOT WATER BOTTLE,714
21181,PLEASE ONE PERSON METAL SIGN,713
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,713
21754,HOME BUILDING BLOCK WORD,710
21175,GIN + TONIC DIET METAL SIGN,701
21733,RED HANGING HEART T-LIGHT HOLDER,696
84991,60 TEATIME FAIRY CAKE CASES,691
84946,ANTIQUE SILVER TEA GLASS ETCHED,689
21977,PACK OF 60 PINK PAISLEY CAKE CASES,686
22722,SET OF 6 SPICE TINS PANTRY DESIGN,674
22111,SCOTTIE DOG HOT WATER BOTTLE,671
23207,LUNCH BAG ALPHABET DESIGN,671
85099F,JUMBO BAG STRAWBERRY,664
85099C,JUMBO  BAG BAROQUE BLACK WHITE,659
23284,DOORMAT KEEP CALM AND COME IN,655
23300,GARDENERS KNEELING PAD CUP OF TEA ,649
22558,CLOTHES PEGS RETROSPOT PACK 24 ,648
22630,DOLLY GIRL LUNCH BOX,636
22624,IVORY KITCHEN SCALES,635
22728,ALARM CLOCK BAKELIKE PINK,621
23208,LUNCH BAG VINTAGE LEAF DESIGN,615
22662,LUNCH BAG DOLLY GIRL DESIGN,614
21166,COOK WITH WINE METAL SIGN ,613
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,609
82484,WOOD BLACK BOARD ANT WHITE FINISH,606
21929,JUMBO BAG PINK VINTAGE PAISLEY,606
23321,SMALL WHITE HEART OF WICKER,605
22554,PLASTERS IN TIN WOODLAND ANIMALS,605
23344,JUMBO BAG 50'S CHRISTMAS ,602
22355,CHARLOTTE BAG SUKI DESIGN,599
85152,HAND OVER THE CHOCOLATE   SIGN ,596
22551,PLASTERS IN TIN SPACEBOY,594
22865,HAND WARMER OWL DESIGN,594
21232,STRAWBERRY CERAMIC TRINKET BOX,593
22467,GUMBALL COAT RACK,586
22698,PINK REGENCY TEACUP AND SAUCER,584
84978,HANGING HEART JAR T-LIGHT HOLDER,581
21755,LOVE BUILDING BLOCK WORD,580
20685,DOORMAT RED RETROSPOT,579
22090,PAPER BUNTING RETROSPOT,574
22966,GINGERBREAD MAN COOKIE CUTTER,572
82486,WOOD S/3 CABINET ANT WHITE FINISH,569
21915,RED  HARMONICA IN BOX ,567
21975,PACK OF 60 DINOSAUR CAKE CASES,566
22907,PACK OF 20 NAPKINS PANTRY DESIGN,565
20972,PINK CREAM FELT CRAFT TRINKET BOX ,550
